epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.1999,2.19261,0.99312,0.99068,0.96293,0.79222,0.77899,0.34391,1.80112,0.85662,0.89716,0.00331373,0.00331373,0.0701765
2,71.2547,1.85394,0.76564,0.90885,0.97482,0.74765,0.7417,0.32603,1.78788,0.88957,0.89033,0.00664634,0.00664634,0.0401757
3,103.194,1.82249,0.75823,0.90251,0.99832,0.78009,0.77947,0.37937,1.70014,0.71942,0.87343,0.00997606,0.00997606,0.0101721
4,150.231,1.80022,0.73363,0.89966,0.96,0.70591,0.6887,0.33399,1.69059,0.83355,0.89824,0.00999023,0.00999023,0.00999023
5,204.97,1.81977,0.76662,0.90586,0.98524,0.78488,0.78107,0.35553,1.84185,0.79393,0.89739,0.00998264,0.00998264,0.00998264
6,240.033,1.74963,0.71701,0.89247,0.99717,0.70232,0.70381,0.376,1.57174,0.69837,0.86455,0.00997288,0.00997288,0.00997288
7,274.889,1.69597,0.68686,0.88224,0.99248,0.72052,0.71685,0.36479,1.71968,0.6897,0.8799,0.00996097,0.00996097,0.00996097
8,309.965,1.66668,0.68702,0.88506,0.99773,0.66599,0.66415,0.35174,1.57249,0.69143,0.87479,0.0099469,0.0099469,0.0099469
9,343.991,1.62026,0.67001,0.87904,0.99676,0.78935,0.7839,0.38645,1.71,0.67604,0.88802,0.00993068,0.00993068,0.00993068
10,383.064,1.59972,0.6543,0.87077,0.99933,0.76875,0.76971,0.42277,1.51774,0.66379,0.86051,0.00991232,0.00991232,0.00991232
11,428.911,1.54583,0.63292,0.85519,0.99345,0.7378,0.7315,0.4206,1.46442,0.6057,0.84305,0.00989183,0.00989183,0.00989183
12,471.992,1.54521,0.65842,0.85971,0.99912,0.7182,0.71483,0.4347,1.39868,0.60419,0.84412,0.00986922,0.00986922,0.00986922
13,513.964,1.48265,0.62115,0.85297,0.9985,0.68247,0.67952,0.34968,1.59528,0.65658,0.84247,0.00984449,0.00984449,0.00984449
14,604.336,1.69345,0.69232,0.86025,0.99108,0.79161,0.78645,0.37385,1.76192,0.71738,0.8487,0.00981765,0.00981765,0.00981765
15,649.215,1.58773,0.68903,0.86255,0.97934,0.75646,0.75168,0.42176,1.45642,0.64673,0.85052,0.00978873,0.00978873,0.00978873
16,689.729,1.48178,0.62831,0.85886,0.99992,0.65804,0.65996,0.37761,1.4609,0.60602,0.84784,0.00975773,0.00975773,0.00975773
17,724.217,1.41755,0.60361,0.85391,0.99609,0.77876,0.7739,0.51029,1.22938,0.5365,0.82432,0.00972466,0.00972466,0.00972466
18,765.914,1.35188,0.56686,0.83778,0.99847,0.802,0.80473,0.52707,1.21985,0.52853,0.81879,0.00968955,0.00968955,0.00968955
19,800.973,1.46361,0.59792,0.85196,0.99722,0.75953,0.75985,0.4778,1.27696,0.59416,0.82722,0.00965239,0.00965239,0.00965239
20,834.978,1.361,0.57225,0.84512,0.99597,0.76634,0.76928,0.51402,1.18703,0.51908,0.81298,0.00961322,0.00961322,0.00961322
21,871.193,1.36786,0.56443,0.83724,0.99988,0.70515,0.70496,0.48005,1.17486,0.51702,0.81489,0.00957205,0.00957205,0.00957205
22,919.003,1.29834,0.54753,0.83076,0.99561,0.76747,0.76424,0.52091,1.11203,0.49789,0.80546,0.00952889,0.00952889,0.00952889
23,962.337,1.26139,0.52895,0.82901,0.9993,0.68671,0.68984,0.47321,1.12541,0.49894,0.81086,0.00948377,0.00948377,0.00948377
24,1012.31,1.25759,0.52421,0.82975,0.99947,0.75572,0.75492,0.53049,1.11695,0.49584,0.81359,0.00943671,0.00943671,0.00943671
25,1044.41,1.18065,0.50839,0.82228,0.99992,0.67995,0.67997,0.47842,1.08609,0.46831,0.80634,0.00938772,0.00938772,0.00938772
26,1084.98,1.10855,0.47835,0.8094,0.99981,0.7072,0.70498,0.53996,0.88174,0.42006,0.78883,0.00933683,0.00933683,0.00933683
27,1122.44,1.07546,0.46175,0.80617,0.99968,0.69504,0.69496,0.53281,0.90523,0.42844,0.79069,0.00928405,0.00928405,0.00928405
28,1166.24,1.07202,0.46719,0.80928,0.99984,0.76855,0.76999,0.60669,0.84457,0.4051,0.78604,0.00922942,0.00922942,0.00922942
29,1278.43,1.04315,0.45187,0.80751,0.99998,0.74201,0.74,0.56424,0.95006,0.42377,0.79034,0.00917296,0.00917296,0.00917296
